City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Waw,SS,2022-04-07 17:55:24,7.7029,27.9953,84.36,40,79,2.73
277,Epernay,FR,2022-04-07 17:55:24,49.05,3.95,55.51,67,100,19.39
278,Tomatlan,MX,2022-04-07 17:55:24,19.9333,-105.25,88.63,41,88,7.78
279,Aykhal,RU,2022-04-07 17:53:58,66.0,111.5,10.22,97,100,5.1
280,Tabas,IR,2022-04-07 17:55:25,33.5959,56.9244,79.02,9,56,4.61
281,Nuuk,GL,2022-04-07 17:55:25,64.1835,-51.7216,25.88,92,99,8.99
282,Coahuayana,MX,2022-04-07 17:55:25,18.7333,-103.6833,87.57,44,50,6.33
283,Arani,IN,2022-04-07 17:55:26,12.6667,79.2833,79.57,79,62,1.61
284,Urumqi,CN,2022-04-07 17:55:26,43.801,87.6005,67.15,18,0,11.18
285,Dalvik,IS,2022-04-07 17:55:26,65.9702,-18.5286,28.33,74,99,4.12
286,Kholmogory,RU,2022-04-07 17:55:27,64.2229,41.656,26.28,89,53,6.22
287,Longyearbyen,SJ,2022-04-07 17:55:27,78.2186,15.6401,12.04,62,20,11.5
288,Abha,SA,2022-04-07 17:55:27,18.2164,42.5053,73.22,30,0,6.91
289,Coquimbo,CL,2022-04-07 17:51:07,-29.9533,-71.3436,62.33,77,0,13.8
290,Aljezur,PT,2022-04-07 17:55:28,37.3191,-8.8033,58.87,71,3,11.05
291,Changji,CN,2022-04-07 17:55:28,44.0167,87.3167,70.59,18,0,11.18
292,Nador,MA,2022-04-07 17:55:28,35.174,-2.9287,68.07,52,0,6.91
293,Odweyne,SO,2022-04-07 17:55:29,9.4092,45.064,76.91,44,97,9.44
